Treatment,Timestamp,BikeMoveRight2,MVWait2,Permitted2,Safe2,BikeMoveRight4,MVWait4,Permitted4,Safe4,CycleDistance,CycleDist1,CycleDist2,MVDistance,CommuteType,CommuteType1,CommuteType2,State,Gender,Education
4_BMUFL,8.12.2014 0:37:53,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,CA,Male,4-Year College
4_BMUFL,8.12.2014 14:12:25,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,CA,Female,4-Year College
4_BMUFL,8.16.2014 17:55:28,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,CA,Male,Graduate Degree
4_BMUFL,8.6.2014 19:06:19,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,Bicycle,Bicycle,Other,CA,Male,4-Year College
4_BMUFL,8.7.2014 19:52:29,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,CA,Male,4-Year College
4_BMUFL,8.7.2014 19:57:23,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,CA,Male,4-Year College
3_SLM,8.6.2014 17:13:36,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,CA,Male,4-Year College
2_STR,8.15.2014 2:22:06,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,Bicycle,Bicycle,Other,CA,Male,4-Year College
2_STR,8.6.2014 16:56:12,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,Bicycle,Bicycle,Other,CA,Male,Graduate Degree
2_STR,8.7.2014 14:14:25,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,CA,Male,4-Year College
2_STR,8.7.2014 16:18:43,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,CA,Male,4-Year College
2_STR,8.8.2014 17:47:18,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,CA,Male,4-Year College
1_None,8.29.2014 11:49:32,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,CA,Female,Graduate Degree
3_SLM,8.11.2014 16:49:49,0_Disagree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,CA,Female,Graduate Degree
3_SLM,8.9.2014 18:31:41,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,CO,Male,4-Year College
4_BMUFL,9.5.2014 19:09:08,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Walk,Walk,Other,DC,Male,4-Year College
1_None,8.11.2014 9:06:19,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,None,"Public transport (bus, school bus, train, etc.)","Public transport (bus, school bus, train, etc.)",Other,DC,Male,4-Year College
1_None,8.13.2014 11:08:11,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,DE,Male,Graduate Degree
2_STR,8.6.2014 20:59:40,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,GA,Male,4-Year College
2_STR,8.7.2014 10:00:06,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,None,Bicycle,Bicycle,Other,GA,Male,4-Year College
2_STR,8.7.2014 21:42:57,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,Bicycle,Bicycle,Other,GA,Male,Community College
1_None,8.8.2014 16:43:32,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,GA,Male,Graduate Degree
4_BMUFL,8.9.2014 9:07:19,0_Disagree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,None,Bicycle,Bicycle,Other,GA,Male,Community College
1_None,8.7.2014 10:15:11,0_Disagree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,GA,Male,Graduate Degree
4_BMUFL,8.27.2014 19:10:08,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,IL,Male,High School
2_STR,8.20.2014 12:06:02,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,None,0,<10,Less than 50 miles,I do not commute to work or school,I do not commute to work or school,Other,IL,Female,4-Year College
1_None,8.10.2014 21:02:05,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,IL,Male,4-Year College
1_None,8.6.2014 21:37:38,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,IL,Male,4-Year College
1_None,8.7.2014 15:58:24,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,IL,Male,4-Year College
3_SLM,8.28.2014 14:52:50,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,None,0,<10,Less than 50 miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,LA,Female,Graduate Degree
3_SLM,8.28.2014 15:33:47,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,LA,Female,Graduate Degree
4_BMUFL,8.6.2014 20:45:31,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,MA,Male,Graduate Degree
1_None,8.7.2014 0:04:28,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,bicycle OR car,Varies by day,Other,MA,Male,4-Year College
1_None,8.6.2014 16:47:05,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,ME,Male,Community College
4_BMUFL,8.7.2014 11:47:41,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,MI,Male,Graduate Degree
4_BMUFL,8.6.2014 17:00:46,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,MN,Male,4-Year College
3_SLM,8.8.2014 17:47:12,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,MN,Male,4-Year College
1_None,8.10.2014 19:30:44,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,MN,Male,4-Year College
1_None,8.28.2014 14:19:23,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,Bicycle,Bicycle,Other,MN,Male,Graduate Degree
1_None,8.7.2014 12:58:05,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,MN,Male,High School
3_SLM,8.7.2014 10:39:59,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,MT,Male,Graduate Degree
4_BMUFL,7.16.2014 18:13:32,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,I do not commute to work or school,I do not commute to work or school,Other,NC,Male,Graduate Degree
4_BMUFL,7.21.2014 21:26:01,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
4_BMUFL,8.29.2014 8:26:58,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Female,Graduate Degree
3_SLM,8.11.2014 20:56:11,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,I do not commute to work or school,I do not commute to work or school,Other,NC,Male,Graduate Degree
3_SLM,8.20.2014 10:12:01,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,I do not commute to work or school,I do not commute to work or school,Other,NC,Male,4-Year College
3_SLM,8.20.2014 14:33:54,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
3_SLM,8.6.2014 18:03:10,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,Community College
3_SLM,8.7.2014 22:03:54,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,retirec,I do not commute to work or school,Other,NC,Male,4-Year College
3_SLM,8.8.2014 8:18:54,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,I do not commute to work or school,I do not commute to work or school,Other,NC,Male,Graduate Degree
2_STR,7.14.2014 21:13:45,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,Graduate Degree
2_STR,7.14.2014 21:21:53,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,Bicycle,Bicycle,Other,NC,Male,Graduate Degree
2_STR,7.17.2014 16:15:21,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,51 - 200 Miles,I do not commute to work or school,I do not commute to work or school,Other,NC,Male,4-Year College
2_STR,8.7.2014 13:30:49,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,NC,Male,4-Year College
2_STR,8.7.2014 19:31:48,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Female,4-Year College
2_STR,8.7.2014 21:11:58,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
1_None,7.14.2014 20:42:24,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,Graduate Degree
1_None,7.15.2014 15:03:14,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,Graduate Degree
1_None,7.15.2014 9:16:18,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,Graduate Degree
1_None,7.17.2014 16:10:15,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,None,Bicycle,Bicycle,Other,NC,Male,Graduate Degree
1_None,7.18.2014 11:38:19,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,More than 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,Graduate Degree
1_None,7.22.2014 9:31:17,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Female,4-Year College
1_None,8.18.2014 22:20:51,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,Less than 50 miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Female,Graduate Degree
1_None,8.7.2014 17:06:27,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,NC,Male,4-Year College
1_None,8.7.2014 22:40:06,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
1_None,8.8.2014 15:17:09,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
2_STR,8.20.2014 21:22:27,0_Disagree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NC,Male,4-Year College
1_None,8.7.2014 13:57:38,0_Disagree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,None,Bicycle,Bicycle,Other,NJ,Male,4-Year College
2_STR,8.11.2014 12:11:23,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Public transport (bus, school bus, train, etc.)","Public transport (bus, school bus, train, etc.)",Other,NM,Male,Graduate Degree
4_BMUFL,8.7.2014 3:11:15,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,Less than 10 miles,10,<10,None,I do not commute to work or school,I do not commute to work or school,Other,NY,Female,Graduate Degree
2_STR,8.10.2014 21:16:33,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,None,Bicycle,Bicycle,Other,NY,Male,4-Year College
2_STR,8.7.2014 11:20:09,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,Bicycle,Bicycle,Other,NY,Male,Graduate Degree
3_SLM,8.9.2014 1:15:40,0_Disagree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,NY,Male,Community College
2_STR,8.6.2014 20:12:11,0_Disagree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,NY,Male,Community College
3_SLM,8.6.2014 23:53:55,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OH,Male,Graduate Degree
2_STR,8.7.2014 1:40:05,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OH,Male,Graduate Degree
1_None,8.12.2014 8:43:43,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,None,Bicycle,Bicycle,Other,OH,Male,4-Year College
1_None,8.15.2014 5:41:21,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,None,Bicycle,Bicycle,Other,OH,Male,High School
4_BMUFL,8.13.2014 21:48:29,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,51 - 200 Miles,"Personal motor vehicle (car, motorcycle, truck, etc.)","Personal motor vehicle (car, motorcycle, truck, etc.)",MotorVehicle,OK,Male,Graduate Degree
4_BMUFL,8.7.2014 19:35:30,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,OK,Male,Graduate Degree
2_STR,8.9.2014 14:24:42,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,None,Bicycle,Bicycle,Other,OR,Male,High School
4_BMUFL,8.6.2014 18:09:35,0_Disagree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,Less than 50 miles,"More than one type of transport (for example, bicycle and bus)","More than one type of transport (for example, bicycle and bus)",Other,OR,Male,Graduate Degree
4_BMUFL,8.13.2014 19:30:54,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,None,Bicycle,Bicycle,Other,PA,Male,Community College
4_BMUFL,8.6.2014 18:20:09,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,I do not commute to work or school,I do not commute to work or school,Other,PA,Female,Graduate Degree
4_BMUFL,8.7.2014 11:30:42,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,None,I do not commute to work or school,I do not commute to work or school,Other,PA,Male,4-Year College
3_SLM,8.6.2014 16:55:22,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,None,Bicycle,Bicycle,Other,PA,Male,4-Year College
3_SLM,8.7.2014 9:46:50,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,None,Bicycle,Bicycle,Other,PA,Male,Graduate Degree
2_STR,8.8.2014 20:59:56,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,11 - 50 miles,50,>10,51 - 200 Miles,I do not commute to work or school,I do not commute to work or school,Other,PA,Male,Graduate Degree
1_None,8.7.2014 9:11:44,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,1_Agree,More than 50 miles,100,>10,Less than 50 miles,Bicycle,Bicycle,Other,PA,Male,4-Year College
