"price","sqft_living","sqft_lot"
435000,670,1800
315000,700,3876
1001000,3100,8000
760000,1410,3600
560000,1380,4048
635500,1660,3600
476000,1140,1332
517000,1140,3750
504500,1820,1545
850000,2550,3784
820000,2420,4635
875000,2280,4280
530000,1260,1312
387000,1010,948
835000,1910,6960
540000,1460,4800
345000,1380,1547
312500,1070,1200
504200,1200,1687
580000,1480,1026
290000,1020,1275
405000,1060,651
562000,1300,1314
291000,840,863
345000,1110,1290
543000,1240,949
1375000,3330,5042
660000,1570,1680
580000,1620,1171
399000,1430,1250
414950,1570,1551
523950,1420,1282
449950,1540,1270
436110,1770,1235
380000,1550,1485
622000,1690,1765
1465000,2800,4000
619000,1650,946
547500,1650,2262
245000,690,1058
343000,1130,1449
650000,1480,2159
635000,1570,1433
667000,1370,1921
660000,1780,1729
602000,1460,1367
360000,1270,1323
550000,1540,1005
5e+05,1420,983
306000,1090,1183
525000,1310,1268
672000,1780,1647
375000,1540,1561
1205000,3330,7650
580000,1620,1173
467000,1420,990
565000,1870,1058
609000,1630,1526
625000,1730,1301
344000,1250,1033
385000,1360,2030
482500,1170,809
379000,1380,1234
375000,1370,1227
355000,1220,1186
5e+05,1210,1200
670000,1500,761
560000,1390,1411
319950,1280,819
425000,1150,1027
515000,1300,1180
350000,1260,1347
376000,1340,1384
359000,1360,885
5e+05,1410,1197
625000,1460,1500
563500,1400,1312
239000,680,772
674600,2610,5140
450000,960,1000
399995,1140,1069
369950,1270,1320
595000,3730,4560
375000,1140,1557
565000,1540,1005
356000,1230,989
401000,1270,1333
420000,1100,1107
336000,1260,1211
580000,1320,1250
355000,1280,959
350000,1280,940
650000,1470,690
375000,1530,1131
630500,1909,1300
610000,1300,1331
671500,1770,1714
559000,1650,960
441750,1020,1060
716000,1660,1849
453000,1160,1269
539900,1300,1325
1500000,3530,3610
375000,1440,1102
245000,390,2000
344000,1250,871
1065000,2920,3000
331000,1290,1153
339950,820,681
370000,1360,1167
455000,1420,1189
598500,1560,2091
374950,1390,1484
485000,1430,923
410000,1420,1269
375000,1290,1213
349000,1340,1151
450000,1020,1049
504600,2360,5000
535000,1320,1125
385000,1630,1598
610000,1630,1500
1555000,4360,6240
482000,1380,1120
475000,1380,1121
459000,1160,1031
690000,1540,1428
610950,1680,1570
475000,1190,1200
520000,1530,981
360000,1530,1131
