"","Location","Habitat","Color","Banding","Count"
"192","Wantage 2","Mixed Deciduous Wood","Brown","Others",0
"193","Wytham Lane","Hedgerows","Brown","X00000",0
"194","Wytham Lane","Hedgerows","Brown","X00300",0
"195","Wytham Lane","Hedgerows","Brown","X12345",0
"196","Wytham Lane","Hedgerows","Brown","Others",1
"197","Canal Bank","Hedgerows","Brown","X00000",9
"198","Canal Bank","Hedgerows","Brown","X00300",1
"199","Canal Bank","Hedgerows","Brown","X12345",0
"200","Canal Bank","Hedgerows","Brown","Others",1
"201","Parks Hedge","Hedgerows","Brown","X00000",0
"202","Parks Hedge","Hedgerows","Brown","X00300",0
"203","Parks Hedge","Hedgerows","Brown","X12345",0
"204","Parks Hedge","Hedgerows","Brown","Others",0
"205","Hinksey Hedge","Hedgerows","Brown","X00000",0
"206","Hinksey Hedge","Hedgerows","Brown","X00300",0
"207","Hinksey Hedge","Hedgerows","Brown","X12345",0
"208","Hinksey Hedge","Hedgerows","Brown","Others",0
"209","Pentridge","Downside, Long Coarse Grass","Brown","X00000",8
"210","Pentridge","Downside, Long Coarse Grass","Brown","X00300",2
"211","Pentridge","Downside, Long Coarse Grass","Brown","X12345",12
"212","Pentridge","Downside, Long Coarse Grass","Brown","Others",6
"213","C.C. Downside","Downside, Long Coarse Grass","Brown","X00000",0
"214","C.C. Downside","Downside, Long Coarse Grass","Brown","X00300",0
"215","C.C. Downside","Downside, Long Coarse Grass","Brown","X12345",0
"216","C.C. Downside","Downside, Long Coarse Grass","Brown","Others",0
"217","Rough Down","Downside, Short Turf","Brown","X00000",49
"218","Rough Down","Downside, Short Turf","Brown","X00300",11
"219","Rough Down","Downside, Short Turf","Brown","X12345",0
"220","Rough Down","Downside, Short Turf","Brown","Others",5
"221","E. Ilsley","Other","Brown","X00000",27
"222","E. Ilsley","Other","Brown","X00300",4
"223","E. Ilsley","Other","Brown","X12345",2
"224","E. Ilsley","Other","Brown","Others",2
"225","Sowberry Court","Other","Brown","X00000",32
"226","Sowberry Court","Other","Brown","X00300",0
"227","Sowberry Court","Other","Brown","X12345",0
"228","Sowberry Court","Other","Brown","Others",0
