"Brand_Name","flavor","CO","nic","tar","size","filter","pack","menthol"
"Old Gold ","Lt",14,0.8,10,"100","F","SP","no"
"Pace* ","Lt",12,0.7,9,"100","F","SP","no"
"Pall Mall ","FF",15,1.2,15,"100","F","SP","no"
"Pall Mall* ","FF",15,1,15,"100","F","SP","no"
"Parliament ","Lt",14,1,12,"100","F","SP","no"
"Pilot* ","Lt",12,0.7,10,"100","F","SP","yes"
"Players ","Lt",14,0.7,10,"100","F","SP","no"
"PM International ","Int'l",15,1.1,15,"100","F","HP","no"
"Price Master* ","Lt",12,0.7,10,"100","F","SP","yes"
"Prime ","Lt",9,0.7,8,"100","F","SP","yes"
"Private Stock ","FF",17,0.9,15,"100","F","SP","no"
"Pyramid ","FF",22,0.8,15,"100","F","SP","yes"
"Quality Smokes* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Rainbow* ","FF",18,0.8,13,"100","F","SP","no"
"Raleigh ","Lt",12,0.9,12,"100","F","SP","no"
"Raleigh Extra ","Ultra-Lt",6,0.4,5,"100","F","SP","no"
"Richland 20's ","",15,1.2,16,"100","F","SP","yes"
"Salem ","Lt",11,0.7,8,"100","F","SP","yes"
"Salem* ","LtPreferred",9,0.6,7,"100","F","SP","yes"
"Satin ","",13,0.9,11,"100","F","SP","yes"
"Savvy* ","Lt",13,1.1,12,"100","F","SP","yes"
"Scotch Buy* ","Lt",12,0.7,9,"100","F","SP","no"
"Sebring* ","FF",18,0.8,13,"100","F","SP","no"
"Signature* ","FF",17,0.8,13,"100","F","SP","yes"
"Silva Thins ","",11,0.9,11,"100","F","HP","yes"
"Slim Price* ","Lt",13,0.7,10,"100","F","HP","no"
"Smoke One ","",13,0.7,10,"100","F","HP","no"
"Smoke One* ","",12,0.7,9,"100","F","SP","no"
"Smoker Friendly* ","FF",18,0.8,13,"100","F","SP","no"
"State* ","FF",15,1.2,14,"100","F","HP","no"
"Sterling ","",17,0.8,13,"100","F","SP","no"
"Stockton* ","FF",18,0.8,13,"100","F","SP","no"
"Summit ","FF",16,0.9,14,"100","F","SP","yes"
"Sundance* ","FF",17,0.8,13,"100","F","SP","yes"
"Tareyton ","FF",15,1.1,15,"100","F","SP","no"
"Tempo* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Tri-Brand* ","Lt",12,0.7,10,"100","F","SP","yes"
"True ","",7,0.6,6,"100","F","SP","yes"
"Value & Quality* ","Ultra-Lt",8,0.3,4,"100","F","SP","no"
"Value Pride* ","FF",18,0.8,13,"100","F","SP","no"
"Value Sense* ","FF",18,0.8,13,"100","F","SP","no"
"Value Time* ","FF",17,0.8,13,"100","F","SP","yes"
"Vantage ","",8,0.7,8,"100","F","SP","no"
"Viceroy ","Ultra",5,0.5,5,"100","F","SP","no"
"Virginia Slims ","Slim",14,1.1,15,"100","F","SP","no"
"Winston ","Lt",11,0.8,9,"100","F","HP","no"
"Winston* ","Select",14,1.2,15,"100","F","HP","no"
"Worth* ","Lt",12,0.7,10,"100","F","SP","yes"
