Draw Date,Winning Numbers,Multiplier
09/21/2011,12 47 48 52 55 13,4
09/24/2011,03 04 12 27 44 26,5
09/28/2011,30 41 50 51 53 08,2
10/01/2011,01 12 23 27 43 31,3
10/05/2011,07 20 43 46 54 17,4
10/08/2011,03 27 35 37 45 31,5
10/12/2011,10 12 23 43 47 18,3
10/15/2011,05 10 24 38 43 01,4
10/19/2011,16 26 35 52 58 02,5
10/22/2011,03 08 23 30 58 13,4
10/26/2011,01 18 21 39 55 06,3
10/29/2011,11 16 40 51 56 38,5
11/02/2011,12 14 34 39 46 36,4
11/05/2011,02 33 39 40 43 26,3
11/09/2011,05 35 57 58 59 12,3
11/12/2011,04 35 36 51 56 08,5
11/16/2011,13 22 25 39 51 28,2
11/19/2011,09 16 17 28 30 11,3
11/23/2011,04 30 35 57 59 25,2
11/26/2011,20 37 39 45 55 28,2
11/30/2011,02 06 34 35 47 22,2
12/03/2011,05 18 33 43 45 08,3
12/07/2011,03 14 20 39 40 37,2
12/10/2011,04 19 33 41 59 09,5
12/14/2011,02 24 46 52 56 19,5
12/17/2011,13 28 49 51 59 33,4
12/21/2011,10 13 15 31 54 18,5
12/24/2011,14 16 30 51 52 19,2
12/28/2011,16 21 27 41 45 14,2
12/31/2011,05 23 25 28 40 34,4
01/04/2012,21 35 46 47 50 02,4
01/07/2012,03 21 24 38 39 24,5
01/11/2012,05 19 29 45 47 25,2
01/14/2012,10 30 36 38 41 01,5
01/18/2012,06 29 34 44 50 28,
01/21/2012,12 24 43 44 45 07,
01/25/2012,04 19 28 29 47 05,
01/28/2012,05 33 41 54 59 13,
02/01/2012,08 13 17 34 59 35,
02/04/2012,15 23 43 45 56 07,
02/08/2012,17 28 38 39 51 33,
02/11/2012,01 10 37 52 57 11,
02/15/2012,11 12 32 52 56 11,
02/18/2012,23 28 50 56 59 05,
02/22/2012,07 16 17 39 51 32,
02/25/2012,06 11 42 53 54 07,
02/29/2012,01 04 11 23 26 14,
03/03/2012,29 30 45 47 49 35,
03/07/2012,12 35 45 46 47 12,
03/10/2012,05 14 17 20 41 05,
03/14/2012,01 08 41 46 59 24,
03/17/2012,11 14 49 55 58 30,
03/21/2012,32 43 53 55 56 06,
03/24/2012,01 15 35 37 47 08,
03/28/2012,11 16 29 50 58 33,
03/31/2012,05 14 36 54 58 27,
04/04/2012,01 24 33 45 49 06,
04/07/2012,05 13 17 20 30 18,
04/11/2012,16 23 42 44 47 02,
04/14/2012,14 15 16 19 24 02,
04/18/2012,20 22 39 46 49 29,
04/21/2012,06 08 20 42 51 16,
04/25/2012,04 25 29 34 43 29,
04/28/2012,31 39 40 57 58 33,
05/02/2012,07 08 33 38 50 29,
05/05/2012,09 12 20 44 59 23,
05/09/2012,01 07 11 55 56 01,
05/12/2012,10 24 35 53 58 22,
05/16/2012,03 07 21 28 43 02,
05/19/2012,08 13 35 46 51 30,
05/23/2012,04 07 26 53 59 32,
05/26/2012,13 14 41 49 59 14,
05/30/2012,09 10 24 52 56 14,
06/02/2012,09 10 17 29 45 33,
06/06/2012,19 30 33 48 59 27,
06/09/2012,18 22 45 56 57 27,
06/13/2012,07 10 14 33 57 18,
06/16/2012,08 14 15 16 27 26,
06/20/2012,11 17 29 56 57 14,
06/23/2012,01 03 41 44 53 30,
06/27/2012,06 34 40 46 58 06,
06/30/2012,07 15 20 41 44 22,
07/04/2012,14 19 35 39 56 33,
07/07/2012,03 05 29 39 59 29,
07/11/2012,05 22 36 49 55 23,
07/14/2012,04 16 32 37 46 13,
07/18/2012,02 05 20 23 57 03,
07/21/2012,09 31 38 54 56 20,
07/25/2012,03 14 35 38 46 16,
07/28/2012,05 06 13 36 50 13,
08/01/2012,03 16 48 56 58 04,
08/04/2012,19 30 48 53 55 18,
08/08/2012,03 07 11 15 28 12,
08/11/2012,04 13 39 46 51 01,
08/15/2012,06 27 46 51 56 21,
08/18/2012,14 26 41 55 59 01,
08/22/2012,22 29 31 47 55 19,
08/25/2012,01 06 07 20 49 23,
08/29/2012,25 28 49 54 56 28,
09/01/2012,08 11 21 44 49 22,
09/05/2012,04 19 26 42 51 29,
09/08/2012,06 20 34 44 48 29,
09/12/2012,24 33 36 48 56 06,
09/15/2012,03 20 26 43 48 01,
09/19/2012,01 05 08 39 50 23,
09/22/2012,02 16 18 40 42 33,
09/26/2012,13 26 39 41 42 10,
09/29/2012,14 18 28 29 57 08,
10/03/2012,17 23 36 55 59 10,
10/06/2012,15 26 34 36 59 35,
10/10/2012,18 26 29 35 43 28,
10/13/2012,02 05 25 26 49 18,
10/17/2012,01 07 10 23 42 35,
10/20/2012,04 21 28 31 44 10,
10/24/2012,03 18 21 23 50 04,
10/27/2012,22 32 34 36 56 33,
10/31/2012,01 27 31 45 48 05,
11/03/2012,04 07 09 30 54 25,
11/07/2012,32 34 45 52 58 20,
11/10/2012,32 42 50 54 55 32,
11/14/2012,08 10 30 44 58 13,
11/17/2012,03 15 27 58 59 20,
11/21/2012,08 18 24 30 39 26,
11/24/2012,22 32 37 44 50 34,
11/28/2012,05 16 22 23 29 06,
12/01/2012,03 10 19 36 46 03,
12/05/2012,13 17 19 27 38 12,
12/08/2012,07 23 26 40 53 21,
12/12/2012,08 10 25 36 44 28,
12/15/2012,15 23 40 44 55 14,
12/19/2012,05 08 20 23 30 03,
12/22/2012,01 18 35 39 44 11,
12/26/2012,11 13 23 43 54 04,
12/29/2012,36 46 50 52 55 14,
01/02/2013,18 20 28 35 53 20,
01/05/2013,26 30 49 51 54 25,
01/09/2013,11 13 20 27 59 26,
01/12/2013,10 14 21 23 47 07,
01/16/2013,09 21 28 32 51 35,
01/19/2013,08 28 29 34 38 35,
01/23/2013,11 12 24 43 45 09,
01/26/2013,03 22 26 41 49 18,
01/30/2013,14 16 32 47 52 16,
02/02/2013,11 16 33 40 41 34,
02/06/2013,05 27 36 38 41 12,
02/09/2013,05 06 16 36 58 03,
02/13/2013,12 23 25 27 43 29,
02/16/2013,15 16 46 50 58 29,
02/20/2013,03 17 19 25 32 17,
02/23/2013,02 05 31 39 41 29,
02/27/2013,03 14 20 34 48 21,
03/02/2013,03 08 13 41 56 16,
03/06/2013,06 10 23 41 45 01,
03/09/2013,10 37 40 46 52 12,
03/13/2013,05 09 28 32 38 29,
03/16/2013,03 07 21 44 53 16,
03/20/2013,13 14 17 43 54 15,
03/23/2013,17 29 31 52 53 31,
03/27/2013,07 37 43 48 52 16,
03/30/2013,11 23 26 46 55 27,
04/03/2013,01 06 08 12 35 03,
04/06/2013,04 07 08 29 39 24,
04/10/2013,01 36 40 52 53 20,
04/13/2013,10 12 31 56 57 33,
04/17/2013,13 18 36 48 58 28,
04/20/2013,06 08 30 39 48 20,
04/24/2013,09 19 31 56 59 02,
04/27/2013,03 23 48 54 55 05,
05/01/2013,22 26 31 54 55 18,
05/04/2013,07 12 26 36 40 17,
05/08/2013,21 22 26 30 57 27,
05/11/2013,06 13 19 23 43 16,
05/15/2013,02 11 26 34 41 32,
05/18/2013,10 13 14 22 52 11,
05/22/2013,09 31 35 41 57 26,
05/25/2013,02 06 19 21 27 25,
05/29/2013,09 14 17 49 57 02,
06/01/2013,22 28 33 53 59 14,
06/05/2013,04 26 33 36 55 32,
06/08/2013,02 11 22 26 32 19,
06/12/2013,16 22 23 42 55 32,
06/15/2013,28 36 40 48 55 01,
06/19/2013,07 46 47 52 57 17,
06/22/2013,13 19 23 33 57 28,
06/26/2013,01 18 33 39 46 33,
06/29/2013,08 28 30 53 56 16,
07/03/2013,03 06 29 40 51 04,
07/06/2013,02 13 35 36 52 11,
07/10/2013,30 31 45 55 59 27,
07/13/2013,02 08 22 35 37 06,
07/17/2013,01 22 34 38 42 17,
07/20/2013,14 25 27 38 58 06,
07/24/2013,09 29 40 44 54 07,
07/27/2013,09 23 40 53 58 06,
07/31/2013,08 24 39 49 59 05,
08/03/2013,21 24 36 42 45 15,
08/07/2013,05 25 30 58 59 32,
08/10/2013,04 12 14 37 58 13,
08/14/2013,04 11 17 43 51 20,
08/17/2013,18 21 46 54 56 23,
08/21/2013,30 40 42 46 48 23,
08/24/2013,12 17 25 45 59 19,
08/28/2013,06 07 09 19 32 13,
08/31/2013,02 07 25 40 56 20,
09/04/2013,02 09 26 45 47 11,
09/07/2013,02 19 22 26 45 24,
09/11/2013,11 19 33 42 52 33,
09/14/2013,01 17 25 37 44 20,
09/18/2013,07 10 22 32 35 19,
09/21/2013,12 17 45 54 58 13,
09/25/2013,02 07 17 49 53 23,
09/28/2013,14 47 52 53 54 05,
10/02/2013,04 06 25 42 51 17,
10/05/2013,11 12 17 39 40 05,
10/09/2013,03 09 19 33 38 18,
10/12/2013,08 10 26 57 58 04,
10/16/2013,03 26 28 34 42 28,
10/19/2013,09 33 54 56 57 05,
10/23/2013,03 23 31 34 47 13,
10/26/2013,04 06 34 49 56 29,
10/30/2013,02 36 40 49 54 10,
11/02/2013,13 23 24 27 40 17,
11/06/2013,01 05 10 15 49 22,
11/09/2013,03 09 37 49 56 32,
11/13/2013,05 31 50 55 56 09,
11/16/2013,10 29 37 44 59 10,
11/20/2013,04 18 23 32 45 07,
11/23/2013,05 12 43 52 55 10,
11/27/2013,18 25 50 55 57 17,
11/30/2013,05 26 44 45 57 29,
12/04/2013,06 09 11 31 44 25,
12/07/2013,13 20 32 45 48 17,
12/11/2013,01 10 13 18 19 27,
12/14/2013,14 25 32 33 41 34,
12/18/2013,07 24 37 39 40 01,
12/21/2013,25 36 40 45 51 08,
12/25/2013,23 28 38 39 56 32,
12/28/2013,08 35 44 51 56 18,
01/01/2014,15 24 40 48 52 23,
01/04/2014,19 20 37 41 58 14,
01/08/2014,10 28 39 47 58 22,
01/11/2014,10 15 33 48 54 34,
01/15/2014,07 08 09 24 29 25,
01/18/2014,13 14 19 31 38 25,
01/22/2014,01 02 07 09 55 29,3
01/25/2014,08 12 18 55 57 02,2
01/29/2014,11 23 28 32 47 20,2
02/01/2014,05 12 15 27 38 07,2
02/05/2014,08 17 32 57 59 24,3
02/08/2014,24 25 34 37 54 29,2
02/12/2014,36 44 49 52 57 01,2
02/15/2014,02 09 14 21 23 03,3
02/19/2014,01 17 35 49 54 34,3
02/22/2014,02 03 13 14 54 04,5
02/26/2014,11 12 17 38 42 02,2
03/01/2014,03 08 25 30 47 13,4
03/05/2014,03 07 09 26 54 19,2
03/08/2014,10 14 24 32 41 30,2
03/12/2014,14 15 28 37 54 10,2
03/15/2014,02 05 34 51 58 09,4
03/19/2014,02 19 23 34 43 14,2
03/22/2014,13 28 31 55 58 15,2
03/26/2014,28 33 41 44 59 21,2
03/29/2014,02 03 12 27 38 17,2
04/02/2014,08 13 19 22 53 24,2
04/05/2014,11 21 26 33 34 29,5
04/09/2014,09 14 44 48 49 29,2
04/12/2014,14 26 45 54 55 20,2
04/16/2014,34 39 42 44 59 08,3
04/19/2014,05 06 29 35 51 21,5
04/23/2014,19 25 29 36 48 12,4
04/26/2014,03 07 22 30 33 20,3
04/30/2014,02 09 11 19 50 32,3
05/03/2014,05 15 16 46 49 26,4
05/07/2014,17 29 31 48 49 34,2
05/10/2014,04 31 41 47 55 01,2
05/14/2014,07 33 39 52 55 33,3
05/17/2014,23 32 39 47 49 22,3
05/21/2014,04 20 34 39 58 31,5
05/24/2014,15 16 28 49 55 18,2
05/28/2014,02 24 28 32 59 25,3
05/31/2014,15 27 31 34 48 01,2
06/04/2014,01 07 10 22 49 24,3
06/07/2014,28 30 35 58 59 15,2
06/11/2014,14 18 25 33 49 23,5
06/14/2014,09 33 42 45 54 30,3
06/18/2014,06 09 29 52 59 07,3
06/21/2014,05 06 37 41 54 26,3
06/25/2014,10 20 25 50 53 35,4
07/02/2014,08 18 45 53 58 35,2
07/05/2014,24 34 36 57 58 11,4
07/09/2014,09 25 42 55 57 14,2
07/12/2014,02 03 07 23 51 26,2
07/16/2014,05 15 18 26 32 35,3
07/19/2014,10 17 25 45 53 09,2
07/23/2014,04 10 12 22 31 03,5
07/26/2014,24 28 30 38 39 16,2
07/30/2014,13 30 42 49 53 29,3
08/02/2014,12 26 44 46 47 29,2
08/06/2014,01 08 24 28 49 24,5
08/09/2014,03 12 31 34 51 24,2
08/13/2014,08 37 39 40 52 24,2
08/16/2014,07 08 17 48 59 09,2
08/20/2014,04 08 21 38 40 03,2
08/23/2014,28 32 35 36 52 31,3
08/27/2014,17 24 26 45 46 19,3
08/30/2014,05 28 31 52 59 27,2
09/03/2014,02 16 43 45 51 35,3
09/06/2014,09 29 31 43 50 18,2
09/10/2014,02 14 39 40 43 13,5
09/13/2014,01 06 16 37 53 27,3
09/17/2014,18 25 36 48 50 23,2
09/20/2014,22 23 30 37 39 16,4
09/24/2014,07 14 21 24 41 26,4
09/27/2014,02 11 35 52 54 13,3
10/01/2014,01 04 18 20 45 07,2
10/04/2014,13 18 24 25 33 31,2
10/08/2014,05 16 31 46 50 18,3
10/11/2014,10 19 37 38 39 28,2
10/15/2014,05 07 19 27 28 20,2
10/18/2014,20 26 27 36 54 19,2
10/22/2014,29 30 40 42 50 16,2
10/25/2014,06 10 51 54 57 12,2
10/29/2014,25 28 48 57 59 16,3
11/01/2014,01 03 13 25 38 17,2
11/05/2014,02 11 19 21 42 34,3
11/08/2014,09 19 33 38 54 15,3
11/12/2014,37 39 51 52 55 11,3
11/15/2014,13 16 33 35 51 28,2
11/19/2014,06 36 38 48 51 17,2
11/22/2014,23 49 53 54 57 35,2
11/26/2014,16 17 22 46 54 35,5
11/29/2014,13 24 30 42 48 27,2
12/03/2014,25 30 32 46 54 26,3
12/06/2014,12 15 22 43 49 14,2
12/10/2014,34 44 48 54 55 10,2
12/13/2014,05 13 28 43 55 33,3
12/17/2014,22 31 38 47 48 15,3
12/20/2014,14 15 19 31 56 05,5
12/24/2014,11 12 46 47 50 22,4
12/27/2014,07 10 11 14 36 15,2
12/31/2014,17 27 37 40 53 35,2
01/03/2015,04 18 43 46 55 25,3
01/07/2015,14 15 47 49 59 10,2
01/10/2015,02 09 19 28 29 19,5
01/14/2015,02 04 10 41 53 22,5
01/17/2015,15 16 23 27 36 09,2
01/21/2015,11 12 15 28 57 23,4
01/24/2015,16 19 20 29 33 10,2
01/28/2015,12 24 35 36 49 01,5
01/31/2015,05 11 16 26 50 34,2
02/04/2015,24 36 51 52 56 22,2
02/07/2015,05 10 21 34 58 33,5
02/11/2015,11 13 25 39 54 19,3
02/14/2015,01 24 44 45 51 28,2
02/18/2015,01 09 29 32 49 22,2
02/21/2015,10 14 18 34 51 26,2
02/25/2015,17 19 21 32 39 08,3
02/28/2015,11 17 25 28 46 12,2
03/04/2015,08 12 15 35 50 32,2
03/07/2015,34 36 38 42 50 33,4
03/11/2015,11 24 31 40 44 27,2
03/14/2015,08 14 39 46 47 18,2
03/18/2015,14 25 30 33 47 08,2
03/21/2015,11 16 30 38 42 07,4
03/25/2015,07 19 23 50 54 14,2
03/28/2015,02 04 06 12 38 17,3
04/01/2015,02 30 33 39 44 01,3
04/04/2015,33 39 40 41 54 28,3
04/08/2015,01 19 45 46 58 29,2
04/11/2015,01 12 32 42 58 12,2
04/15/2015,01 16 21 29 40 30,3
04/18/2015,13 22 23 29 31 17,3
04/22/2015,10 14 25 39 53 18,2
04/25/2015,21 33 35 38 45 12,2
04/29/2015,01 26 34 38 51 06,3
05/02/2015,02 06 11 30 31 33,3
05/06/2015,23 24 27 39 41 30,5
05/09/2015,04 15 17 35 58 17,3
05/13/2015,01 25 29 31 47 07,3
05/16/2015,24 29 38 48 52 32,2
05/20/2015,01 12 28 35 44 25,3
05/23/2015,09 15 17 31 43 16,4
05/27/2015,08 15 34 53 59 23,2
05/30/2015,08 09 25 56 57 22,2
06/03/2015,06 08 13 37 40 11,2
06/06/2015,08 13 18 27 43 15,4
06/10/2015,31 32 48 49 53 25,2
06/13/2015,29 41 48 52 54 29,2
06/17/2015,20 21 22 41 54 07,3
06/20/2015,09 10 16 20 57 15,2
06/24/2015,03 05 10 22 32 07,4
06/27/2015,18 28 35 46 49 27,5
07/01/2015,07 24 26 31 41 25,2
07/04/2015,03 06 14 18 24 21,3
07/08/2015,04 15 25 27 30 18,3
07/11/2015,11 39 46 52 54 03,2
07/15/2015,13 16 34 45 50 11,2
07/18/2015,06 37 39 45 55 33,3
07/22/2015,12 31 43 44 57 11,2
07/25/2015,27 29 34 41 44 02,3
07/29/2015,04 22 27 28 52 35,3
08/01/2015,07 13 24 49 57 15,3
08/05/2015,09 11 14 16 42 19,2
08/08/2015,09 34 48 52 54 15,4
08/12/2015,08 13 29 38 52 28,2
08/15/2015,03 13 17 42 52 24,4
08/19/2015,06 08 43 48 50 07,2
08/22/2015,04 12 14 21 55 07,4
08/26/2015,02 22 32 45 56 12,5
08/29/2015,18 21 25 28 29 16,2
09/02/2015,17 22 30 46 56 16,3
09/05/2015,10 16 18 29 45 19,2
09/09/2015,44 45 47 50 51 08,2
09/12/2015,02 03 13 16 35 27,3
09/16/2015,05 07 24 31 39 07,3
09/19/2015,12 17 26 43 48 24,2
09/23/2015,08 29 41 51 58 05,2
09/26/2015,23 31 42 50 57 05,3
09/30/2015,21 39 40 55 59 17,3
10/03/2015,06 26 33 44 46 04,2
10/07/2015,18 30 40 48 52 09,3
10/10/2015,12 27 29 43 68 01,2
10/14/2015,15 20 29 31 40 01,2
10/17/2015,48 49 57 62 69 19,3
10/21/2015,30 32 42 56 57 11,4
10/24/2015,20 31 56 60 64 02,3
10/28/2015,04 54 56 62 63 10,2
10/31/2015,09 20 25 47 68 07,2
11/04/2015,02 12 17 20 65 17,4
11/07/2015,07 16 25 50 53 15,2
11/11/2015,04 26 32 55 64 18,3
11/14/2015,14 22 37 45 66 05,3
11/18/2015,17 40 41 46 69 06,2
11/21/2015,37 47 50 52 57 21,3
11/25/2015,16 29 53 58 69 21,2
11/28/2015,02 06 47 66 67 02,3
12/02/2015,14 18 19 32 64 09,2
12/05/2015,13 27 33 47 68 13,2
12/09/2015,07 10 16 46 56 01,2
12/12/2015,02 14 19 30 62 22,2
12/16/2015,09 10 32 42 55 06,2
12/19/2015,28 30 41 59 68 10,2
12/23/2015,16 38 55 63 67 25,4
12/26/2015,27 40 44 59 65 20,2
12/30/2015,12 36 38 54 61 22,3
01/02/2016,05 06 15 29 42 10,2
01/06/2016,02 11 47 62 63 17,3
01/09/2016,16 19 32 34 57 13,3
01/13/2016,04 08 19 27 34 10,2
01/16/2016,03 51 52 61 64 06,2
01/20/2016,05 39 44 47 69 24,5
01/23/2016,22 32 34 40 69 19,4
01/27/2016,03 12 40 52 67 21,2
01/30/2016,05 12 16 31 43 18,4
02/03/2016,26 28 31 60 67 23,3
02/06/2016,04 13 31 36 52 08,3
02/10/2016,02 03 40 50 62 05,2
02/13/2016,07 15 18 19 36 20,2
02/17/2016,07 17 27 29 40 25,2
02/20/2016,11 12 15 16 54 25,5
02/24/2016,21 31 64 65 67 05,3
02/27/2016,10 11 21 22 53 18,3
03/02/2016,12 13 44 52 62 06,2
03/05/2016,03 27 34 59 69 19,2
03/09/2016,14 23 32 34 68 03,3
03/12/2016,11 28 50 57 62 23,2
03/16/2016,10 12 13 46 50 21,3
03/19/2016,11 23 43 54 60 03,3
03/23/2016,05 08 15 22 49 25,3
03/26/2016,11 23 42 52 68 06,3
03/30/2016,24 44 53 55 63 19,2
04/02/2016,09 28 30 40 61 03,2
04/06/2016,04 28 49 60 65 25,2
04/09/2016,14 22 23 41 61 09,3
04/13/2016,30 33 35 38 64 22,3
04/16/2016,03 18 25 32 51 03,2
04/20/2016,12 25 30 52 62 08,3
04/23/2016,19 35 46 59 62 13,5
04/27/2016,02 25 33 39 64 17,2
04/30/2016,03 12 16 32 34 14,3
05/04/2016,30 47 57 66 69 03,3
05/07/2016,05 25 26 44 66 09,2
05/11/2016,20 32 52 66 69 23,3
05/14/2016,13 27 47 64 65 09,3
05/18/2016,23 25 39 54 67 11,3
05/21/2016,05 07 09 23 32 26,4
05/25/2016,11 24 41 59 64 15,3
05/28/2016,06 33 34 58 59 12,2
06/01/2016,23 30 33 40 69 12,5
06/04/2016,16 20 22 43 64 17,2
06/08/2016,12 25 37 60 69 20,3
06/11/2016,20 27 36 41 58 07,2
06/15/2016,04 22 24 31 33 10,2
06/18/2016,02 23 41 53 63 11,2
06/22/2016,14 40 42 43 52 17,3
06/25/2016,03 27 36 56 69 25,2
06/29/2016,23 29 37 60 64 06,2
07/02/2016,10 34 39 59 63 04,2
07/06/2016,02 24 31 57 66 18,3
07/09/2016,10 28 32 61 64 12,3
07/13/2016,03 15 29 54 57 10,3
07/16/2016,11 17 40 50 62 26,2
07/20/2016,06 25 35 58 66 05,2
