"obs_number","date","obs_pref","obs_position","demo_pref","condition","time_train","time_soc","time_exp","dropout","dog_age","dog_sex","breed","dropout_category","trial","value","start_direction","conform"
"44","04-Mai-2014","rechts","rechts","links",3,60,10,10,1,66,1,"Staffordshire",1,3,1,1,1
"45","09-Mai-2014","links","rechts","rechts",1,15,5,10,0,29,1,"Australian Cattledog",0,3,0,0,0
"46","09-Mai-2014","links","rechts","rechts",1,15,15,10,0,49,2,"Golden Retriever-Border Collie-Mix",0,3,0,0,0
"47","10-Mai-2014","links","rechts","rechts",1,20,5,10,0,85,2,"Golden Retriever",0,3,0,0,0
"48","10-Mai-2014","links","rechts","rechts",1,40,10,NA,1,36,2,"Rhodesian Ridgeback",1,3,NA,0,NA
"49","10-Mai-2014","links","links","rechts",1,40,10,15,0,47,2,"Australian Shepherd-Golden Retriever-Mix",0,3,1,1,1
"50","10-Mai-2014","links","links","rechts",1,35,30,5,1,48,2,"Australian Shepherd",1,3,NA,1,NA
"51","11-Mai-2014","links","links","rechts",3,15,15,15,0,125,2,"Australian Shepherd",0,3,0,1,0
"52","11-Mai-2014","links","links","rechts",3,15,15,10,0,74,2,"Retriever-Labrador-Cocker-Mix",0,3,1,1,1
"53","11-Mai-2014","links","rechts","rechts",1,20,10,15,0,60,1,"Münsterländer-Mix",0,3,0,0,0
"54","11-Mai-2014","links","rechts","rechts",1,55,NA,NA,1,88,1,"Schäferhund-Husky-Setter-Mix",1,3,NA,0,NA
"55","16-Mai-2014","links","rechts","rechts",1,50,5,10,0,110,2,"Golden Retriever",0,3,2,0,NA
"56","16-Mai-2014","links","rechts","rechts",3,10,15,10,0,16,2,"Golden Retriever",0,3,0,0,0
"57","17-Mai-2014","rechts","links","links",1,15,5,10,0,18,1,"Border Collie Mix",0,3,0,0,0
"58","17-Mai-2014","rechts","links","links",1,25,5,10,0,54,1,"Magya-Wiszla-Mix",0,3,0,0,0
"59","17-Mai-2014","rechts","links","links",3,55,10,5,1,93,2,"Langhaar-Collie",2,3,NA,0,NA
"60","17-Mai-2014","rechts","links","links",3,10,15,NA,0,61,1,"Border Collie",0,3,0,0,0
"61","29-Mai-2014","links","rechts","rechts",3,40,10,10,1,147,2,"Mischling",1,3,0,0,0
"62","29-Mai-2014","links","rechts","rechts",3,50,10,10,0,114,1,"Mischling",0,3,0,0,0
"63","29-Mai-2014","rechts","links","links",3,10,5,15,0,20,1,"Deutsche Dogge",0,3,0,0,0
"64","29-Mai-2014","rechts","links","links",3,20,5,15,0,48,1,"Landseer-Howavart-Mix",0,3,0,0,0
"65","29-Mai-2014","links","rechts","rechts",1,35,NA,NA,1,36,1,"Berner Sennenhund",1,3,NA,0,NA
"66","30-Mai-2014","rechts","links","links",3,55,5,15,1,90,2,"Irish Setter",1,3,2,0,NA
"67","30-Mai-2014","rechts","links","links",3,10,15,10,0,36,1,"Jack Russell Terrier",0,3,0,0,0
"68","31-Mai-2014","links","rechts","rechts",3,15,5,10,0,138,1,"Border Collie",0,3,0,0,0
"69","31-Mai-2014","links","rechts","rechts",3,15,10,5,0,84,2,"Bardino Mix",0,3,0,0,0
"7","13-Apr-2014","links","links","rechts",3,15,15,10,0,48,2,"Bracke-Mix",0,3,1,1,1
"70","31-Mai-2014","rechts","links","links",1,45,NA,NA,1,107,1,"Rhodesian Ridgeback",1,3,NA,0,NA
"71","31-Mai-2014","rechts","links","links",1,35,5,15,1,11,1,"Mischling",1,3,0,0,0
"72","01-Jun-2014","links","links","rechts",1,50,NA,NA,1,12,2,"Podenco Ibicenco",1,3,NA,1,NA
"73","01-Jun-2014","links","links","rechts",1,55,5,NA,1,49,1,"Beagle",1,3,1,1,1
"74","01-Jun-2014","links","rechts","rechts",1,NA,NA,NA,1,32,2,"Tschechischer Wolfshund-Mix",1,3,NA,0,NA
"75","01-Jun-2014","links","rechts","rechts",1,45,5,10,1,78,1,"BBS-Deutscher Schäferhund-Mix",1,3,1,0,1
"76","07-Jun-2014","rechts","links","links",3,10,15,10,0,27,1,"Doubledoodle",0,3,0,0,0
"77","07-Jun-2014","rechts","rechts","links",3,30,15,15,0,132,1,"Whippet",0,3,0,1,0
"78","08-Jun-2014","links","rechts","rechts",3,15,5,10,0,135,2,"Golden Retriever",0,3,0,0,0
"79","08-Jun-2014","links","rechts","rechts",3,45,NA,NA,1,60,1,"Australian Shepherd",1,3,NA,0,NA
"8","13-Apr-2014","links","links","rechts",3,25,12,10,0,42,1,"Cocker Spaniel",0,3,2,1,NA
"80","08-Jun-2014","rechts","links","links",1,20,5,15,0,48,1,"Border Collie",0,3,0,0,0
"81","08-Jun-2014","rechts","links","links",1,10,5,10,0,47,1,"Border Collie",0,3,0,0,0
"82","04-Jul-2014","rechts","links","links",3,30,5,10,0,16,2,"Weisser Schweizer Schäferhund",0,3,0,0,0
"83","04-Jul-2014","rechts","rechts","links",3,40,5,10,1,75,2,"Mix",3,3,0,1,0
"84","05-Jul-2014","links","rechts","rechts",1,10,5,10,0,62,2,"Mops",0,3,2,0,NA
"85","05-Jul-2014","links","rechts","rechts",1,20,NA,NA,1,54,1,"Deutscher Schäferhund",2,3,NA,0,NA
"86","05-Jul-2014","rechts","links","links",1,65,NA,NA,1,81,2,"Chihuahua",2,3,NA,0,NA
"87","06-Jul-2014","rechts","links","links",1,15,5,15,0,47,2,"Golden Retriever-Labrador-Mix",0,3,0,0,0
"88","06-Jul-2014","rechts","links","links",1,10,5,15,0,82,2,"Kurzhaarcollie",0,3,0,0,0
"89","06-Jul-2014","links","rechts","rechts",1,25,5,10,0,51,2,"Chihuahua-Spitz-Mix",0,3,0,0,0
"9","13-Apr-2014","links","links","rechts",3,25,15,NA,0,75,1,"Espagnel Picard",0,3,0,1,0
"90","11-Jul-2014","links","rechts","rechts",3,15,10,10,0,108,2,"American Cocker Spaniel",0,3,0,0,0
"91","11-Jul-2014","links","rechts","rechts",3,40,10,15,0,161,2,"Mix",0,3,0,0,0
"92","12-Jul-2014","links","rechts","rechts",3,25,10,15,0,101,1,"Labrador",0,3,0,0,0
"93","13-Jul-2014","rechts","rechts","links",1,10,5,15,0,60,1,"Labrador",0,3,0,1,0
"94","25-Jul-2014","rechts","rechts","links",3,60,10,10,1,50,1,"Beagle",2,3,1,1,1
"95","25-Jul-2014","rechts","rechts","links",3,20,5,10,0,45,2,"Golden Retriever",0,3,0,1,0
"KG1","05-Jul-2014","rechts","links","keine",0,10,NA,NA,1,54,2,"Rhodesian Ridgeback",2,3,NA,0,NA
"KG10","13-Jul-2014","links","links","keine",0,30,10,10,0,25,1,"englischer Springer Spaniel",0,3,0,1,0
"KG11","26-Jul-2014","rechts","rechts","keine",0,15,10,10,0,21,2,"Border Collie",0,3,0,1,0
"KG12","26-Jul-2014","rechts","links","keine",0,35,NA,NA,1,29,2,"Dobermann",2,3,NA,0,NA
"KG13","26-Jul-2014","rechts","links","keine",0,10,10,10,0,21,2,"Magya Wiszla",0,3,2,0,NA
"KG14","26-Jul-2014","rechts","links","keine",0,35,10,10,0,30,2,"Dalmatiner-Labrador-Mix",0,3,0,0,0
"KG15","26-Jul-2014","links","rechts","keine",0,20,10,10,0,83,2,"Mischling",0,3,0,0,0
"KG16","26-Jul-2014","rechts","rechts","keine",0,15,NA,NA,1,112,2,"Rhodesian Ridgeback",2,3,NA,1,NA
"KG17","26-Jul-2014","rechts","rechts","keine",0,35,10,10,0,31,1,"Basenji",0,3,1,1,1
"KG18","27-Jul-2014","links","links","keine",0,35,10,10,0,49,1,"Kurzhaarcollie",0,3,2,1,NA
"KG19","27-Jul-2014","links","links","keine",0,50,NA,NA,1,108,2,"Beagle-Mix",2,3,NA,1,NA
"KG2","06-Jul-2014","links","rechts","keine",0,30,10,10,0,18,1,"Golden Retriever",0,3,0,0,0
"KG20","27-Jul-2014","rechts","links","keine",0,50,NA,NA,1,84,2,"Jack Russell",2,3,NA,0,NA
"KG21","27-Jul-2014","rechts","links","keine",0,25,10,15,0,21,2,"Cocker-Mix",0,3,0,0,0
"KG22","27-Jul-2014","links","rechts","keine",0,25,NA,NA,1,24,2,"Königspudel",2,3,NA,0,NA
"KG23","02-Aug-2014","links","rechts","keine",0,10,10,10,0,46,1,"Harzer Fuchs",0,3,0,0,0
"KG24","02-Aug-2014","rechts","rechts","keine",0,15,10,10,0,103,2,"Border Collie kurzhaar",0,3,0,1,0
"KG25","02-Aug-2014","links","links","keine",0,NA,NA,NA,1,138,1,"Kurzhaarcollie",2,3,NA,1,NA
"KG26","02-Aug-2014","links","links","keine",0,15,NA,NA,1,132,2,"Großpudel",2,3,NA,1,NA
"KG27","02-Aug-2014","links","links","keine",0,40,10,10,0,97,2,"Großpudel",0,3,0,1,0
"KG28","02-Aug-2014","rechts","links","keine",0,15,10,10,0,38,1,"Flat Coated Retriever",0,3,0,0,0
"KG3","12-Jul-2014","links","rechts","keine",0,15,10,10,0,40,2,"Rhodesian Ridgeback",0,3,0,0,0
"KG4","12-Jul-2014","rechts","rechts","keine",0,50,NA,NA,1,13,2,"Border Collie",2,3,NA,1,NA
"KG5","12-Jul-2014","rechts","rechts","keine",0,40,10,5,0,97,2,"Eurasier",0,3,0,1,0
"KG6","12-Jul-2014","rechts","rechts","keine",0,NA,NA,NA,1,96,1,"Eurasier",3,3,NA,1,NA
"KG7","12-Jul-2014","rechts","rechts","keine",0,25,NA,NA,1,36,1,"Eurasier",3,3,NA,1,NA
"KG8","13-Jul-2014","rechts","links","keine",0,15,10,10,0,16,1,"Parson Russell Terrier",0,3,0,0,0
"KG9","13-Jul-2014","links","links","keine",0,20,10,10,0,48,1,"Labrador Mix",0,3,1,1,1
